stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\Documents\GitHub\BreakoutLevelEditor\bin\Debug\allegro5.cfg r
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13044] added dtor for sub_bitmap 0BC933B8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13045] added dtor for sub_bitmap 0BC93510, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13046] added dtor for sub_bitmap 0BC937C0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13047] added dtor for sub_bitmap 0BC93A70, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13048] added dtor for sub_bitmap 0BC93D20, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13048] added dtor for sub_bitmap 0BC92A50, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13049] added dtor for sub_bitmap 0BC92BA8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13050] added dtor for sub_bitmap 0BC92E58, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13051] added dtor for sub_bitmap 0BC92FB0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13054] added dtor for sub_bitmap 0BC95628, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13055] added dtor for sub_bitmap 0BC95CE0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13056] added dtor for sub_bitmap 0BC95780, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13057] added dtor for sub_bitmap 0BC94B68, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13058] added dtor for sub_bitmap 0BC948B8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13059] added dtor for sub_bitmap 0BC95E38, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13060] added dtor for sub_bitmap 0BC95F90, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13061] added dtor for sub_bitmap 0BC960E8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13062] added dtor for sub_bitmap 0BC964F0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13063] added dtor for sub_bitmap 0BC967A0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13064] added dtor for sub_bitmap 0BC958D8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13065] added dtor for sub_bitmap 0BC968F8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13067] added dtor for sub_bitmap 0BC96648, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13068] added dtor for sub_bitmap 0BC96BA8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13069] added dtor for sub_bitmap 0BC95B88, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13070] added dtor for sub_bitmap 0BC95A30, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13071] added dtor for sub_bitmap 0BC96D00, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13072] added dtor for sub_bitmap 0BC94CC0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13073] added dtor for sub_bitmap 0BC96240, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13074] added dtor for sub_bitmap 0BC97108, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13074] added dtor for sub_bitmap 0BC96FB0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13075] added dtor for sub_bitmap 0BC96398, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13076] added dtor for sub_bitmap 0BC96A50, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13077] added dtor for sub_bitmap 0BC96E58, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13078] added dtor for sub_bitmap 0BC94760, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13079] added dtor for sub_bitmap 0BC94A10, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13080] added dtor for sub_bitmap 0BC954D0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13081] added dtor for sub_bitmap 0BC94E18, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13082] added dtor for sub_bitmap 0BC94F70, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13083] added dtor for sub_bitmap 0BC950C8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13084] added dtor for sub_bitmap 0BC95220, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13085] added dtor for sub_bitmap 0BC95378, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13086] added dtor for sub_bitmap 0BC98280, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13086] added dtor for sub_bitmap 0BC97918, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13087] added dtor for sub_bitmap 0BC973B8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13088] added dtor for sub_bitmap 0BC97E78, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13090] added dtor for sub_bitmap 0BC97260, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13091] added dtor for sub_bitmap 0BC97668, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13092] added dtor for sub_bitmap 0BC97BC8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13093] added dtor for sub_bitmap 0BC983D8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13094] added dtor for sub_bitmap 0BC98128, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13095] added dtor for sub_bitmap 0BC97FD0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13096] added dtor for sub_bitmap 0BC98530, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13097] added dtor for sub_bitmap 0BC97510, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13098] added dtor for sub_bitmap 0BC977C0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13099] added dtor for sub_bitmap 0BC97A70, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13099] added dtor for sub_bitmap 0BC97D20, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13102] added dtor for sub_bitmap 0BC9A518, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13103] added dtor for sub_bitmap 0BC9A268, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13104] added dtor for sub_bitmap 0BC9BBF0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13105] added dtor for sub_bitmap 0BC9A110, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13106] added dtor for sub_bitmap 0BC9A920, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13107] added dtor for sub_bitmap 0BC9A670, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13108] added dtor for sub_bitmap 0BC99900, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13109] added dtor for sub_bitmap 0BC9AD28, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13110] added dtor for sub_bitmap 0BC9B7E8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13110] added dtor for sub_bitmap 0BC9B130, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13116] added dtor for sub_bitmap 0BC9C2A8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13117] added dtor for sub_bitmap 0BC99FB8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13118] added dtor for sub_bitmap 0BC9A3C0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13119] added dtor for sub_bitmap 0BC9B538, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13120] added dtor for sub_bitmap 0BC99A58, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13121] added dtor for sub_bitmap 0BC9C150, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13122] added dtor for sub_bitmap 0BC9BD48, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13123] added dtor for sub_bitmap 0BC9ABD0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13124] added dtor for sub_bitmap 0BC9BEA0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13125] added dtor for sub_bitmap 0BC9B690, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13126] added dtor for sub_bitmap 0BC9BFF8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13127] added dtor for sub_bitmap 0BC9AE80, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13128] added dtor for sub_bitmap 0BC9BA98, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13129] added dtor for sub_bitmap 0BC9AFD8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13130] added dtor for sub_bitmap 0BC9B940, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13131] added dtor for sub_bitmap 0BC99BB0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13132] added dtor for sub_bitmap 0BC99D08, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13133] added dtor for sub_bitmap 0BC9B288, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13134] added dtor for sub_bitmap 0BC99E60, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13135] added dtor for sub_bitmap 0BC9AA78, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13136] added dtor for sub_bitmap 0BC9A7C8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13137] added dtor for sub_bitmap 0BC9B3E0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13138] added dtor for sub_bitmap 0BC9D6D0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13139] added dtor for sub_bitmap 0BC9EDA8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13140] added dtor for sub_bitmap 0BC9CD68, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13141] added dtor for sub_bitmap 0BC9CAB8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13142] added dtor for sub_bitmap 0BC9CEC0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13143] added dtor for sub_bitmap 0BC9E2E8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13144] added dtor for sub_bitmap 0BC9E440, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13145] added dtor for sub_bitmap 0BC9E848, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13146] added dtor for sub_bitmap 0BC9CC10, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13147] added dtor for sub_bitmap 0BC9DD88, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13148] added dtor for sub_bitmap 0BC9EAF8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13149] added dtor for sub_bitmap 0BC9D018, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13150] added dtor for sub_bitmap 0BC9D170, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13151] added dtor for sub_bitmap 0BC9E9A0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13151] added dtor for sub_bitmap 0BC9D2C8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13152] added dtor for sub_bitmap 0BC9D420, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13153] added dtor for sub_bitmap 0BC9EC50, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13154] added dtor for sub_bitmap 0BC9E598, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13155] added dtor for sub_bitmap 0BC9D578, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13156] added dtor for sub_bitmap 0BC9C808, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13157] added dtor for sub_bitmap 0BC9D980, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13158] added dtor for sub_bitmap 0BC9D828, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13160] added dtor for sub_bitmap 0BC9DAD8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13161] added dtor for sub_bitmap 0BC9DC30, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13162] added dtor for sub_bitmap 0BC9DEE0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13162] added dtor for sub_bitmap 0BC9C960, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13163] added dtor for sub_bitmap 0BC9E038, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13164] added dtor for sub_bitmap 0BC9E6F0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13165] added dtor for sub_bitmap 0BC9E190, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13166] added dtor for sub_bitmap 0BC9C400, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13167] added dtor for sub_bitmap 0BC9C558, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13168] added dtor for sub_bitmap 0BC9C6B0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13169] added dtor for sub_bitmap 0BCA11F0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13170] added dtor for sub_bitmap 0BCA0078, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13171] added dtor for sub_bitmap 0BCA0888, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13172] added dtor for sub_bitmap 0BC9EF00, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13173] added dtor for sub_bitmap 0BCA0480, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13174] added dtor for sub_bitmap 0BC9FDC8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13175] added dtor for sub_bitmap 0BCA14A0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13176] added dtor for sub_bitmap 0BCA1098, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13178] added dtor for sub_bitmap 0BC9F868, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13179] added dtor for sub_bitmap 0BCA0328, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13180] added dtor for sub_bitmap 0BCA0C90, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13181] added dtor for sub_bitmap 0BCA0F40, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13182] added dtor for sub_bitmap 0BCA0730, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13183] added dtor for sub_bitmap 0BC9F058, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13183] added dtor for sub_bitmap 0BC9F710, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13184] added dtor for sub_bitmap 0BC9F9C0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13185] added dtor for sub_bitmap 0BCA0DE8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13186] added dtor for sub_bitmap 0BC9F1B0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13187] added dtor for sub_bitmap 0BC9F308, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13188] added dtor for sub_bitmap 0BCA1348, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13189] added dtor for sub_bitmap 0BCA05D8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13190] added dtor for sub_bitmap 0BCA1750, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13192] added dtor for sub_bitmap 0BC9F460, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13193] added dtor for sub_bitmap 0BC9FC70, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13194] added dtor for sub_bitmap 0BCA09E0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13195] added dtor for sub_bitmap 0BCA15F8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13196] added dtor for sub_bitmap 0BC9F5B8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13197] added dtor for sub_bitmap 0BCA0B38, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13198] added dtor for sub_bitmap 0BC9FB18, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13199] added dtor for sub_bitmap 0BC9FF20, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13200] added dtor for sub_bitmap 0BCA01D0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13203] added dtor for sub_bitmap 0BCA6E40, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13204] added dtor for sub_bitmap 0BCA7248, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13205] added dtor for sub_bitmap 0BCA8110, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13206] added dtor for sub_bitmap 0BCA87C8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13207] added dtor for sub_bitmap 0BCA6CE8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13208] added dtor for sub_bitmap 0BCA6F98, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13209] added dtor for sub_bitmap 0BCA7D08, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13210] added dtor for sub_bitmap 0BCA83C0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13211] added dtor for sub_bitmap 0BCA70F0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13212] added dtor for sub_bitmap 0BCA6B90, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13213] added dtor for sub_bitmap 0BCA73A0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13214] added dtor for sub_bitmap 0BCA7E60, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13215] added dtor for sub_bitmap 0BCA7FB8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13216] added dtor for sub_bitmap 0BCA7650, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13217] added dtor for sub_bitmap 0BCA6630, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13218] added dtor for sub_bitmap 0BCA6A38, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13219] added dtor for sub_bitmap 0BCA77A8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13220] added dtor for sub_bitmap 0BCA8518, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13221] added dtor for sub_bitmap 0BCA64D8, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13222] added dtor for sub_bitmap 0BCA68E0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13223] added dtor for sub_bitmap 0BCA8670, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13224] added dtor for sub_bitmap 0BCA5E20, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13225] added dtor for sub_bitmap 0BCA7BB0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13227] added dtor for sub_bitmap 0BCA8268, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13228] added dtor for sub_bitmap 0BCA5F78, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13229] added dtor for sub_bitmap 0BCA6228, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13230] added dtor for sub_bitmap 0BCA60D0, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13231] added dtor for sub_bitmap 0BCA6380, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13232] added dtor for sub_bitmap 0BCA6788, func 00403B8B
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.13233] added dtor for sub_bitmap 0BCA74F8, func 00403B8B
